event_type,timestamp,callback_index,outdoor_temp_c,zone_temp_c,primary_zone,electricity_demand_w,interval_kwh,cumulative_kwh,action_json,reasoning,zone_temp_Core_ZN,zone_temp_Perimeter_ZN_1,zone_temp_Perimeter_ZN_2,zone_temp_Perimeter_ZN_3,zone_temp_Perimeter_ZN_4
sensor,1979-06-24 03:20,1315,10.733333333333334,22.740388028545457,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568917,,,22.740388028545457,22.24987093907879,22.28563005929927,22.329501196310698,22.48178521336065
sensor,1979-06-24 03:30,1316,10.55,22.706858852569376,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568924,,,22.706858852569376,22.20922632567011,22.244602175299658,22.290669568274186,22.438481404505072
sensor,1979-06-24 03:40,1317,10.366666666666667,22.672704078320354,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568931,,,22.672704078320354,22.168208545951323,22.20322432156423,22.251614441844072,22.395155650321747
sensor,1979-06-24 03:50,1318,10.183333333333334,22.638777705538132,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568937,,,22.638777705538132,22.126892767189723,22.16155922930273,22.21236741736186,22.351692678430886
sensor,1979-06-24 03:60,1319,10.0,22.604938526999206,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568944,,,22.604938526999206,22.085315531987753,22.119638846452116,22.172937928784698,22.308064388658252
sensor,1979-06-24 04:10,1320,9.9,22.5860851913601,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568951,,,22.5860851913601,22.059039992483093,22.092687816046645,22.148459423244503,22.27949611295544
sensor,1979-06-24 04:20,1321,9.8,22.56560677024857,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568958,,,22.56560677024857,22.029471022618942,22.06220541077829,22.12078585714155,22.247505672252128
sensor,1979-06-24 04:30,1322,9.7,22.54331917042242,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568965,,,22.54331917042242,22.009457530627667,22.13771392330955,22.15453733817429,22.224070599168247
sensor,1979-06-24 04:40,1323,9.600000000000001,22.52311547168826,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568972,,,22.52311547168826,21.99115163405968,22.244148876179864,22.200358578506215,22.202368219069008
sensor,1979-06-24 04:50,1324,9.5,22.50638641179214,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568978,,,22.50638641179214,21.976374177991197,22.37830868622743,22.253594714167498,22.183942735784115
sensor,1979-06-24 04:60,1325,9.4,22.493044617881385,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568985,,,22.493044617881385,21.965755787571492,22.520509273657886,22.30404863162525,22.16892711375592
sensor,1979-06-24 05:13,1326,9.783333333333333,23.02117254928239,Core_ZN,2288.78334377256,0.38146389062875996,520.5140985475273,,,23.02117254928239,22.42326396860392,23.221246804335586,22.82193870148852,22.740490201347722
sensor,1979-06-24 05:25,1327,10.166666666666668,23.543888549389766,Core_ZN,2394.433846842458,0.39907230780707637,520.9131708553343,,,23.543888549389766,22.85782845921755,23.842309219479446,23.3147898915689,23.267493662870773
sensor,1979-06-24 05:35,1328,10.55,23.78463514979572,Core_ZN,2330.044199197308,0.388340699866218,521.3015115552006,,,23.78463514979572,23.075051927101285,23.977780003489205,23.554153968795223,23.515535472435218
sensor,1979-06-24 05:45,1329,10.933333333333334,23.931444259066886,Core_ZN,2331.4215747778426,0.3885702624629737,521.6900818176636,,,23.931444259066886,23.218424944167403,23.996147188573573,23.717538240974328,23.67825912556335
sensor,1979-06-24 05:53,1330,11.316666666666666,23.999773286640256,Core_ZN,2333.409451393566,0.388901575232261,522.0789833928958,,,23.999773286640256,23.3295435543441,23.999665634885073,23.844147298167705,23.80857112025593
sensor,1979-06-24 05:63,1331,11.7,23.9999896105327,Core_ZN,2359.924428908088,0.393320738151348,522.4723041310472,,,23.9999896105327,23.425462898086703,23.999959484185993,23.947339487853704,23.911333437579856
